run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,HLT_IsoTkMu24,HLT_Mu50,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
279975,93,65381380,80.9404,-2.47894,105.254,-2.50986,0.917389,-24.3139,11,2,1,114.732,261.965,79.7367,34.9957,1,0,1,15.6198,0,0,0,0.538248,25,1870,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66949250,41.7845,1.54319,0,0,0,41.7845,4,0,0,0,79.9903,28.3546,19.25,0,0,0,0,0,0,0,0.528445,26,1633,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,66969986,120.089,0.61799,158.813,1.62339,0.485164,-38.7241,8,3,2,327.339,404.719,205.646,84.3003,1,0,1,12.8713,2,1,1,0.993115,32,2036,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66876105,11.6237,-1.02132,0,0,0,11.6237,4,0,0,0,52.2464,14.568,14.5076,0,0,0,0,0,0,0,0.531266,16,1233,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,65498311,33.484,0.0191601,53.9583,-1.636,1,-20.4743,11,1,1,53.9583,237.678,53.9583,27.5685,1,0,1,10.0417,4,1,0,0.880014,34,2303,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66889350,260.928,2.99749,284.044,3.10953,1,-23.1157,5,1,1,284.044,356.732,284.044,26.9185,0,0,0,0,2,0,0,0.609394,27,1817,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,0
279975,93,65537479,15.4129,-2.07275,88.9222,-1.01626,0.321941,-73.5094,7,3,2,276.206,327.671,127.748,110.754,2,0,2,138.345,1,0,0,0.604503,27,1748,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
279975,93,65931464,26.2757,-0.794357,34.4318,-2.22744,0.362061,-8.15616,18,2,1,95.0995,369.363,60.2873,34.8122,0,1,1,15.402,5,0,0,0.795683,69,3077,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65720070,20.4804,-1.57131,0,0,0,20.4804,2,0,0,0,37.0393,22.7207,14.3187,0,0,0,0,1,0,0,0.554309,29,1970,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,66899715,118.337,1.26232,31.0541,0.818099,1,87.2832,10,1,0,31.0541,158.302,31.0541,24.0142,0,0,0,0,1,0,0,0.556033,37,2117,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,65851397,46.4031,1.49677,0,0,0,46.4031,19,0,0,0,293.029,26.5899,24.6893,0,0,0,0,5,1,0,0.881121,60,3123,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66836360,110.654,-2.09947,118.999,-2.0055,0.490247,-8.34552,7,3,2,242.733,311.068,144.756,59.6918,0,2,2,61.2715,4,0,0,0.639807,29,1588,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65709124,80.5337,-2.24608,112.124,-2.26262,1,-31.5904,10,1,1,112.124,261.382,112.124,28.3305,0,0,0,0,4,0,0,0.70493,42,2523,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
