mode,sample_validation_id,region,relative_independent_shape_uncertainty,sideband_anchor_q90_95,upper_observed_total,upper_expected_total,obs_over_exp_upper,background_only_p,background_only_Z,fit_mu_trace,normalisation_scope
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.3,1240.0,1250.0,1241.6188419105706,1.0067501859721562,0.48224246247330016,0.04452625414223738,0.0068993033727762195,exact_plus_approx_pending
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.4,1240.0,1250.0,1241.6188419105706,1.0067501859721562,0.4866084055161134,0.03357405585170256,0.006782776765356308,exact_plus_approx_pending
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.5,1240.0,1250.0,1241.6188419105706,1.0067501859721562,0.4893394367028056,0.026725250412829034,0.007096830483077839,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,MET_trace,0.1,878.0,1147.0,879.1462445140976,1.3046748560405268,2.7146923551103114e-05,4.03632994401725,0.3064430801305474,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,MET_trace,0.2,878.0,1147.0,879.1462445140976,1.3046748560405268,0.004390690776277091,2.620449963803994,0.3199587709439568,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,MET_trace,0.3,878.0,1147.0,879.1462445140976,1.3046748560405268,0.026594780964198737,1.9333787104488236,0.33349935657689556,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,MET_trace,0.4,878.0,1147.0,879.1462445140976,1.3046748560405268,0.06140411499662086,1.5430929295717253,0.3483088873244649,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,MET_trace,0.5,878.0,1147.0,879.1462445140976,1.3046748560405268,0.09792614078812384,1.2934592141940833,0.36115469721687776,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.1,3220.0,3230.0,3224.203766896804,1.0017977254299826,0.48317218784420185,0.0421935859383282,0.0023771049857282383,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.2,3220.0,3230.0,3224.203766896804,1.0017977254299826,0.4904240427999523,0.024005670508501064,0.0024931386099198137,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.3,3220.0,3230.0,3224.203766896804,1.0017977254299826,0.49347797749875066,0.01634901430228196,0.0025142916476714842,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.4,3220.0,3230.0,3224.203766896804,1.0017977254299826,0.49512298064480714,0.012225179123856126,0.002423242357913429,exact_plus_approx_pending
exact_plus_approx_pending,Run2016H_remote_mht_aware,JetHT_SingleMuon_controls,0.5,3220.0,3230.0,3224.203766896804,1.0017977254299826,0.49613319143119394,0.009692803462872535,0.0025586923584689425,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,MET_trace,0.1,204.0,289.0,204.26632560464228,1.4148195946862032,0.00033263985561606934,3.403501815964894,0.4122650455029031,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,MET_trace,0.2,204.0,289.0,204.26632560464228,1.4148195946862032,0.003400839934350941,2.7064012952802146,0.426019485470791,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,MET_trace,0.3,204.0,289.0,204.26632560464228,1.4148195946862032,0.01402861743638721,2.196485178577592,0.4423316009622674,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,MET_trace,0.4,204.0,289.0,204.26632560464228,1.4148195946862032,0.03245998757009832,1.8458087811349042,0.4575867553221555,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,MET_trace,0.5,204.0,289.0,204.26632560464228,1.4148195946862032,0.05526853274974206,1.5957838263885251,0.47052250518762534,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.1,1490.0,1500.0,1491.9452213280242,1.00539884344065,0.46452164622171,0.08904859225511792,0.00559665781933678,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.2,1490.0,1500.0,1491.9452213280242,1.00539884344065,0.47905015112352883,0.052537642640517704,0.005623611256204792,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,1490.0,1500.0,1491.9452213280242,1.00539884344065,0.48556899221923633,0.03618106450577763,0.005702742282102963,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,1490.0,1500.0,1491.9452213280242,1.00539884344065,0.48922384471105446,0.02701510118685138,0.005471973075239485,exact_plus_approx_pending
exact_plus_approx_pending,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,1490.0,1500.0,1491.9452213280242,1.00539884344065,0.4913821936912159,0.02160331723122423,0.005459905427052302,exact_plus_approx_pending
