variant,jet_bin,met_bin,score_band,observed,met_bin_n,sm_fraction,expected_official_shape,midpoint,shape_correction,expected_shape
lepton_aware_resid,3to4jets,5,q0975_099,119,15552,0.003046406924761302,47.37772049388777,0.9825,2.4319256825615923,115.21909525031036
lepton_aware_resid,3to4jets,5,q099_100,6,15552,0.00022595344642672302,3.5140279988283964,0.995,2.521554320162035,8.860812481616094
lepton_aware_resid,3to4jets,6,q000_050,1475,13628,0.32757417569503994,4464.180866372004,0.25,0.2916579311079142,1302.0137555775948
lepton_aware_resid,3to4jets,6,q050_080,5603,13628,0.4409091617664248,6008.710056552837,0.65,0.9286471359989834,5579.971385066082
lepton_aware_resid,3to4jets,6,q080_090,3720,13628,0.1544920664325564,2105.4178813428784,0.85,1.6570636483615246,3488.8114357836216
lepton_aware_resid,3to4jets,6,q090_095,2019,13628,0.05821889099062473,793.4070464202338,0.925,2.0589574186401576,1633.5913242283161
lepton_aware_resid,3to4jets,6,q095_0975,672,13628,0.015256603772747785,207.9169962150068,0.9625,2.295099152053522,477.1901217105775
lepton_aware_resid,3to4jets,6,q0975_099,137,13628,0.003273733475909845,44.61443980969937,0.9825,2.4319256825615923,108.49900198630621
lepton_aware_resid,3to4jets,6,q099_100,2,13628,0.0002753678666965726,3.752713287340891,0.995,2.521554320162035,9.462670402023896
lepton_aware_resid,3to4jets,7,q000_050,1606,11419,0.3384202019189933,3864.4202857129844,0.25,0.2916579311079142,1127.0888254625038
lepton_aware_resid,3to4jets,7,q050_080,4837,11419,0.4156045527661212,4745.788388036338,0.65,0.9286471359989834,4407.162794607178
lepton_aware_resid,3to4jets,7,q080_090,2707,11419,0.15781969782533284,1802.1431294674758,0.85,1.6570636483615246,2986.265868985031
lepton_aware_resid,3to4jets,7,q090_095,1497,11419,0.06503693693450154,742.6567828550731,0.925,2.0589574186401576,1529.0986925628852
lepton_aware_resid,3to4jets,7,q095_0975,638,11419,0.019059013687761722,217.6348773005511,0.9625,2.295099152053522,499.4936223497672
lepton_aware_resid,3to4jets,7,q0975_099,132,11419,0.0038018420646687774,43.41323453645277,0.9825,2.4319256825615923,105.5777600322694
lepton_aware_resid,3to4jets,7,q099_100,2,11419,0.00025775480262054003,2.9433020911239467,0.995,2.521554320162035,7.42169610341554
lepton_aware_resid,3to4jets,8,q000_050,1686,7110,0.3637407806278289,2586.1969502638635,0.25,0.2916579311079142,754.2848519515558
lepton_aware_resid,3to4jets,8,q050_080,3025,7110,0.3821179253843771,2716.858449482921,0.65,0.9286471359989834,2523.0028180269533
lepton_aware_resid,3to4jets,8,q080_090,1119,7110,0.1319263677043227,937.9964743777344,0.85,1.6570636483615246,1554.319859982616
lepton_aware_resid,3to4jets,8,q090_095,797,7110,0.08528095579036798,606.3475956695164,0.925,2.0589574186401576,1248.4438803783735
lepton_aware_resid,3to4jets,8,q095_0975,379,7110,0.030177952872681543,214.56524492476578,0.9625,2.295099152053522,492.44851168698625
