outcome,feature_set,model,scheme,n,r2,mae,rmse,corr
abs_Poisson,label_plus_core_rare,huber,ATLAS_train_CMS_test,197,-1.8774371608832383,1.1409392784096415,1.5063382184717855,0.06191638918590777
abs_Poisson,label_plus_core_rare,huber,CMS_train_ATLAS_test,555,-1510.458039492737,11.421353551435372,32.817946891956424,0.1535493237419687
abs_Poisson,label_plus_core_rare,forest,GroupKFold_by_analysis,752,-0.037613857630421466,0.6561738239170285,0.872206716476959,0.013093656044319658
abs_Poisson,label_plus_core_rare,forest,ATLAS_train_CMS_test,197,-0.09720893077896364,0.675184063140896,0.9301740898277767,0.06794924393835775
abs_Poisson,label_plus_core_rare,forest,CMS_train_ATLAS_test,555,-0.022394980302061995,0.6481556011255948,0.8535377125567526,-0.09766403771408509
abs_Poisson,components_sparse,ols,GroupKFold_by_analysis,752,-0.23598718709961952,0.7101829692599912,0.9519377058086814,0.04599617949980799
abs_Poisson,components_sparse,ols,ATLAS_train_CMS_test,197,-1.1997315131885338,0.9644883824136672,1.3170565099271663,0.06448475238527684
abs_Poisson,components_sparse,ols,CMS_train_ATLAS_test,555,-1380.839542618277,10.95601999402769,31.379221769471307,0.15361253415115037
abs_Poisson,components_sparse,ridge,GroupKFold_by_analysis,752,-0.05084130661161357,0.6527269747407742,0.8777485342609334,-0.01403050510077884
abs_Poisson,components_sparse,ridge,ATLAS_train_CMS_test,197,-1.1490785855526195,0.9664053223894661,1.301804352881794,-0.05036143294605439
abs_Poisson,components_sparse,ridge,CMS_train_ATLAS_test,555,0.00030952618862822856,0.6380434509269245,0.8440071722829523,0.11254742244561712
abs_Poisson,components_sparse,elasticnet,GroupKFold_by_analysis,752,-0.014166794701143681,0.6503589402240174,0.8622957359949532,-0.06322576495004958
abs_Poisson,components_sparse,elasticnet,ATLAS_train_CMS_test,197,-0.9530271162702804,0.9031873240050279,1.2410055039308434,0.02117266543872188
abs_Poisson,components_sparse,elasticnet,CMS_train_ATLAS_test,555,-0.004426554895761159,0.6417848132467154,0.846004072001549,-0.0013107823629891528
abs_Poisson,components_sparse,huber,GroupKFold_by_analysis,752,-0.13906222367230514,0.6596204909471393,0.9138507435339068,0.03445381942817586
abs_Poisson,components_sparse,huber,ATLAS_train_CMS_test,197,-1.6349709215376134,1.0913385037116996,1.4414762274341086,0.07199281956297153
abs_Poisson,components_sparse,huber,CMS_train_ATLAS_test,555,-1514.18363396504,11.42080436593731,32.858368493957535,0.15359143486427798
abs_Poisson,components_sparse,forest,GroupKFold_by_analysis,752,-0.05181284114053919,0.666455541365102,0.8781541930379316,-0.0007785614690973011
abs_Poisson,components_sparse,forest,ATLAS_train_CMS_test,197,-0.15630814667911608,0.6888395041876805,0.9548966368549862,-0.04193036918799879
abs_Poisson,components_sparse,forest,CMS_train_ATLAS_test,555,-0.0543794859789295,0.6656652505739439,0.8667858924119379,-0.17122990695783238
Z_capped_3,baseline_metadata,ols,GroupKFold_by_analysis,752,-0.018542178109786756,1.2750119206581523,1.6040143233899218,-0.035440044538553234
Z_capped_3,baseline_metadata,ols,ATLAS_train_CMS_test,197,-0.14886545258514317,1.009072240021318,1.2652744231865651,-0.10032039397839457
Z_capped_3,baseline_metadata,ols,CMS_train_ATLAS_test,555,-0.0033643744135900544,1.393196111325168,1.7140140843187286,0.02262645982326652
Z_capped_3,baseline_metadata,ridge,GroupKFold_by_analysis,752,-0.013166328432830499,1.2669993228963123,1.5997757419502259,-0.06528383127976177
Z_capped_3,baseline_metadata,ridge,ATLAS_train_CMS_test,197,-0.013325383351569187,0.9191960983639403,1.1882959171497356,-0.01940562862963946
Z_capped_3,baseline_metadata,ridge,CMS_train_ATLAS_test,555,-0.0016058247018932992,1.3890700035737915,1.712511389529124,-0.05138205474355415
Z_capped_3,baseline_metadata,elasticnet,GroupKFold_by_analysis,752,-0.011876536877542643,1.2630261629815074,1.5987571360766295,-0.10638379683512543
Z_capped_3,baseline_metadata,elasticnet,ATLAS_train_CMS_test,197,-9.08217245805254e-05,0.8981476778621442,1.1805105289483226,-4.392195745102163e-17
Z_capped_3,baseline_metadata,elasticnet,CMS_train_ATLAS_test,555,-0.0015080159568958695,1.3899285672206538,1.712427772463901,0.02285579311530881
Z_capped_3,baseline_metadata,huber,GroupKFold_by_analysis,752,-0.02129726448437963,1.2761799685730966,1.6061822324516886,-0.04768714020041573
