primary_dataset,run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_IsoTkMu24,HLT_Mu50,leading_muon_pt
MET,279975,93,66769025,39.142,0.293541,0.0,0.0,0.0,39.142,6,0,0,0.0,99.9583,22.722,19.9012,0,0,0,0.0,0,0,0,0.395523,27,2062,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,66373310,89.6218,-3.04172,184.374,1.40648,1.0,-94.7521,5,1,1,184.374,245.905,184.374,20.0304,0,1,1,36.9585,2,0,0,0.792792,33,1911,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,
MET,279975,93,66432060,50.3016,1.3408,3.33664,2.36055,0.0417367,46.965,4,2,0,79.9449,101.277,41.5497,38.3951,0,0,0,0.0,1,0,0,0.693426,26,1777,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66507514,53.042,2.83875,78.8939,-0.180194,0.356408,-25.8518,7,3,3,221.358,284.362,81.0519,72.7362,3,0,3,107.302,0,0,0,0.526727,26,1686,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,1.0,1.0,
MET,279975,93,66318591,69.4064,0.336403,47.066,-0.0156824,1.0,22.3405,5,1,0,47.066,102.088,47.066,16.7086,0,0,0,0.0,0,0,0,0.513139,23,1704,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,-1,1,1,0,1.0,1.0,0.0,0.0,0.0,
MET,279975,93,65419452,36.7226,3.12101,0.0,0.0,0.0,36.7226,13,0,0,0.0,187.551,23.8565,20.0051,0,0,0,0.0,2,0,0,0.55427,48,2953,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,
MET,279975,93,66524799,71.6837,-0.154238,64.4816,-0.594997,0.211334,7.20204,10,2,2,305.117,443.427,184.646,120.471,0,0,0,0.0,2,1,1,0.97427,27,1653,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66281151,74.406,-1.09264,95.785,-2.35462,0.723501,-21.3789,8,2,1,132.391,217.905,102.385,30.006,0,0,0,0.0,3,0,0,0.781382,42,2388,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66611803,99.4482,-2.6685,56.7513,-3.00797,0.115269,42.6969,6,4,3,492.338,516.475,197.774,147.915,4,1,5,117.585,1,0,0,0.563369,15,1260,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66797247,86.8643,1.0128,49.6969,1.33561,0.0966171,37.1674,13,3,3,514.37,670.271,271.901,183.659,1,0,1,22.1226,4,1,1,0.98636,41,2604,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
