row_id,analysis,signal_region,HT_or_meff,MET,N_btags,N_jets,N_leptons,is_compressed,is_disappearing_track,is_displaced,is_high_MET,is_high_multiplicity,is_long_lived,is_reconstruction_difficult
418,ATLAS-SUSY-2018-42-eff,SR450_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,ATLAS-SUSY-2018-42-eff,SR450_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,ATLAS-SUSY-2018-42-eff,SR500_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,ATLAS-SUSY-2018-42-eff,SR500_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,ATLAS-SUSY-2018-42-eff,SR550_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,ATLAS-SUSY-2018-42-eff,SR550_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,ATLAS-SUSY-2018-42-eff,SR600_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,ATLAS-SUSY-2018-42-eff,SR600_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,ATLAS-SUSY-2018-42-eff,SR650_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,ATLAS-SUSY-2018-42-eff,SR650_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,ATLAS-SUSY-2018-42-eff,SR700_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,ATLAS-SUSY-2018-42-eff,SR700_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,ATLAS-SUSY-2018-42-eff,SR800_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,ATLAS-SUSY-2018-42-eff,SR800_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,ATLAS-SUSY-2018-42-eff,SR900_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,ATLAS-SUSY-2018-42-eff,SR900_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,ATLAS-SUSY-2019-02-eff,DF_8125_815,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,ATLAS-SUSY-2019-02-eff,DF_815_8175,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,ATLAS-SUSY-2019-02-eff,DF_8175_82,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,ATLAS-SUSY-2019-02-eff,DF_81_1,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,ATLAS-SUSY-2019-02-eff,DF_81_1_SF_77_1,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,ATLAS-SUSY-2019-02-eff,DF_81_8125,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,ATLAS-SUSY-2019-02-eff,DF_8225_825,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,ATLAS-SUSY-2019-02-eff,DF_825_8275,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,ATLAS-SUSY-2019-02-eff,DF_8275_83,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
